Age	Passenger Class	Sex	No of Siblings or Spouses on Board	No of Parents or Children on Board	Passenger Fare	Survived
29.0	First	Female	.0	.0	211.3	Yes
2.0	First	Female	1.0	2.0	151.6	No
30.0	First	Male	1.0	2.0	151.6	No
25.0	First	Female	1.0	2.0	151.6	No
48.0	First	Male	.0	.0	26.6	Yes
63.0	First	Female	1.0	.0	78.0	Yes
39.0	First	Male	.0	.0	.0	No
18.0	First	Female	1.0	.0	227.5	Yes
26.0	First	Female	.0	.0	78.9	Yes
80.0	First	Male	.0	.0	30.0	Yes
29.9	First	Male	.0	.0	25.9	No
24.0	First	Male	.0	1.0	247.5	No
50.0	First	Female	.0	1.0	247.5	Yes
32.0	First	Female	.0	.0	76.3	Yes
36.0	First	Male	.0	.0	75.2	No
37.0	First	Male	1.0	1.0	52.6	Yes
26.0	First	Male	.0	.0	30.0	Yes
42.0	First	Female	.0	.0	227.5	Yes
29.0	First	Female	.0	.0	221.8	Yes
25.0	First	Male	1.0	.0	91.1	Yes
19.0	First	Female	1.0	.0	91.1	Yes
35.0	First	Female	.0	.0	135.6	Yes
28.0	First	Male	.0	.0	26.6	Yes
45.0	First	Male	.0	.0	35.5	No
40.0	First	Male	.0	.0	31.0	Yes
30.0	First	Female	.0	.0	164.9	Yes
58.0	First	Female	.0	.0	26.6	Yes
42.0	First	Male	.0	.0	26.6	No
22.0	First	Female	.0	1.0	55.0	Yes
29.9	First	Male	.0	.0	26.6	Yes
41.0	First	Male	.0	.0	30.5	No
48.0	First	Male	.0	.0	50.5	No
29.9	First	Male	.0	.0	39.6	No
59.0	First	Female	2.0	.0	51.5	Yes
60.0	First	Female	.0	.0	76.3	Yes
29.9	First	Male	.0	.0	31.0	No
42.0	First	Male	.0	.0	26.3	Yes
53.0	First	Female	.0	.0	27.4	Yes
36.0	First	Male	.0	1.0	512.3	Yes
28.0	First	Male	.0	.0	47.1	No
17.0	First	Male	.0	.0	47.1	No
11.0	First	Male	1.0	2.0	120.0	Yes
36.0	First	Male	1.0	2.0	120.0	Yes
36.0	First	Female	1.0	2.0	120.0	Yes
49.0	First	Male	.0	.0	26.0	No
36.0	First	Male	1.0	.0	78.9	No
76.0	First	Female	1.0	.0	78.9	Yes
46.0	First	Male	1.0	.0	61.2	No
47.0	First	Female	1.0	.0	61.2	Yes
27.0	First	Male	1.0	.0	53.1	Yes
36.0	First	Female	.0	.0	262.4	Yes
30.0	First	Female	.0	.0	86.5	Yes
29.9	First	Female	.0	1.0	55.0	Yes
29.9	First	Male	.0	.0	.0	No
27.0	First	Male	1.0	.0	136.8	No
26.0	First	Female	1.0	.0	136.8	Yes
22.0	First	Female	.0	.0	151.6	Yes
29.9	First	Male	.0	.0	52.0	No
39.0	First	Female	1.0	1.0	83.2	Yes
37.0	First	Male	1.0	1.0	83.2	No
64.0	First	Female	.0	2.0	83.2	Yes
55.0	First	Female	2.0	.0	25.7	Yes
29.9	First	Male	.0	.0	26.6	No
70.0	First	Male	1.0	1.0	71.0	No
39.0	First	Male	1.0	.0	71.3	No
38.0	First	Female	1.0	.0	71.3	Yes
51.0	First	Male	.0	.0	26.6	Yes
33.0	First	Female	.0	.0	151.6	Yes
31.0	First	Male	1.0	.0	52.0	No
27.0	First	Female	1.0	2.0	52.0	Yes
31.0	First	Male	1.0	.0	57.0	Yes
17.0	First	Female	1.0	.0	57.0	Yes
53.0	First	Male	1.0	1.0	81.9	Yes
4.0	First	Male	.0	2.0	81.9	Yes
48.0	First	Female	1.0	.0	106.4	Yes
48.0	First	Female	1.0	.0	39.6	Yes
49.0	First	Male	1.0	.0	56.9	Yes
39.0	First	Male	.0	.0	29.7	No
23.0	First	Female	.0	1.0	83.2	Yes
54.0	First	Female	1.0	.0	78.3	Yes
36.0	First	Female	.0	.0	31.7	No
29.9	First	Male	.0	.0	221.8	No
29.9	First	Female	.0	.0	110.9	Yes
36.0	First	Male	.0	.0	26.4	Yes
24.0	First	Female	3.0	2.0	263.0	Yes
23.0	First	Female	3.0	2.0	263.0	Yes
19.0	First	Male	3.0	2.0	263.0	No
64.0	First	Male	1.0	4.0	263.0	No
60.0	First	Female	1.0	4.0	263.0	Yes
30.0	First	Female	.0	.0	56.9	Yes
29.9	First	Male	.0	.0	26.6	No
50.0	First	Male	2.0	.0	133.7	Yes
43.0	First	Male	1.0	.0	27.7	Yes
22.0	First	Female	.0	2.0	49.5	Yes
60.0	First	Male	1.0	1.0	79.2	Yes
48.0	First	Female	1.0	1.0	79.2	Yes
29.9	First	Male	.0	.0	.0	No
37.0	First	Male	1.0	.0	53.1	No
47.0	First	Male	.0	.0	38.5	No
35.0	First	Female	.0	.0	211.5	Yes
22.0	First	Female	.0	1.0	59.4	Yes
45.0	First	Female	.0	1.0	59.4	Yes
24.0	First	Male	.0	.0	79.2	No
49.0	First	Male	1.0	.0	89.1	Yes
29.9	First	Female	1.0	.0	89.1	Yes
71.0	First	Male	.0	.0	34.7	No
53.0	First	Male	.0	.0	28.5	Yes
38.0	First	Male	.0	1.0	153.5	No
58.0	First	Female	.0	1.0	153.5	Yes
45.0	First	Female	.0	1.0	63.4	Yes
46.0	First	Male	.0	.0	79.2	No
25.0	First	Male	1.0	.0	55.4	Yes
25.0	First	Female	1.0	.0	55.4	Yes
48.0	First	Male	1.0	.0	76.7	Yes
29.9	First	Male	.0	.0	42.4	No
27.0	First	Male	.0	.0	76.7	Yes
29.9	First	Male	.0	.0	30.0	Yes
24.0	First	Female	.0	.0	83.2	Yes
55.0	First	Male	1.0	1.0	93.5	No
52.0	First	Female	1.0	1.0	93.5	Yes
42.0	First	Male	.0	.0	42.5	No
29.9	First	Male	.0	.0	51.9	No
16.0	First	Female	.0	1.0	58.0	Yes
51.0	First	Female	1.0	.0	78.0	Yes
42.0	First	Male	1.0	.0	52.0	No
35.0	First	Female	1.0	.0	52.0	Yes
35.0	First	Male	.0	.0	26.6	Yes
38.0	First	Male	1.0	.0	90.0	Yes
29.9	First	Male	.0	.0	30.7	No
35.0	First	Female	1.0	.0	90.0	Yes
38.0	First	Female	.0	.0	80.0	Yes
49.0	First	Male	.0	.0	.0	Yes
46.0	First	Male	.0	.0	26.0	No
50.0	First	Male	.0	.0	26.0	No
58.0	First	Male	.0	.0	29.7	No
29.9	First	Female	1.0	.0	51.9	Yes
42.0	First	Male	1.0	.0	52.6	Yes
29.9	First	Male	.0	.0	26.6	No
30.0	First	Female	.0	.0	106.4	Yes
29.9	First	Male	.0	.0	27.7	No
42.0	First	Male	.0	.0	26.6	No
16.0	First	Female	.0	1.0	39.4	Yes
51.0	First	Female	.0	1.0	39.4	Yes
29.0	First	Male	.0	.0	30.0	No
15.0	First	Female	.0	1.0	211.3	Yes
30.0	First	Male	.0	.0	26.0	No
29.9	First	Male	.0	.0	29.7	Yes
19.0	First	Male	1.0	.0	53.1	No
18.0	First	Female	1.0	.0	53.1	Yes
24.0	First	Female	.0	.0	49.5	Yes
54.0	First	Male	.0	.0	51.9	No
29.9	First	Female	1.0	.0	82.2	Yes
44.0	First	Male	2.0	.0	90.0	No
33.0	First	Female	1.0	.0	90.0	Yes
37.0	First	Female	1.0	.0	90.0	Yes
30.0	First	Male	1.0	.0	57.8	Yes
55.0	First	Male	.0	.0	30.5	No
47.0	First	Male	.0	.0	42.4	No
37.0	First	Male	.0	1.0	29.7	No
58.0	First	Male	.0	2.0	113.3	No
19.0	First	Female	.0	2.0	26.3	Yes
64.0	First	Male	.0	.0	26.0	No
29.9	First	Male	.0	.0	25.7	Yes
22.0	First	Female	.0	1.0	62.0	Yes
65.0	First	Male	.0	1.0	62.0	No
29.9	First	Male	.0	.0	.0	No
45.5	First	Male	.0	.0	28.5	No
23.0	First	Male	.0	.0	93.5	No
29.0	First	Male	1.0	.0	66.6	No
22.0	First	Female	1.0	.0	66.6	Yes
18.0	First	Male	1.0	.0	108.9	No
17.0	First	Female	1.0	.0	108.9	Yes
30.0	First	Female	.0	.0	93.5	Yes
52.0	First	Male	.0	.0	30.5	Yes
47.0	First	Male	.0	.0	52.0	No
56.0	First	Female	.0	1.0	83.2	Yes
22.0	First	Male	.0	.0	135.6	No
29.9	First	Male	.0	.0	227.5	No
45.0	First	Male	.0	.0	26.6	Yes
29.9	First	Male	.0	.0	50.0	No
33.0	First	Female	.0	.0	27.7	Yes
46.0	First	Male	.0	.0	79.2	No
36.0	First	Male	.0	.0	40.1	No
33.0	First	Female	.0	.0	86.5	Yes
55.0	First	Male	1.0	.0	59.4	No
54.0	First	Female	1.0	.0	59.4	Yes
33.0	First	Male	.0	.0	26.6	No
13.0	First	Male	2.0	2.0	262.4	Yes
18.0	First	Female	2.0	2.0	262.4	Yes
61.0	First	Male	1.0	3.0	262.4	No
48.0	First	Female	1.0	3.0	262.4	Yes
24.0	First	Female	.0	.0	69.3	Yes
35.0	First	Female	1.0	.0	57.8	Yes
30.0	First	Female	.0	.0	31.0	Yes
34.0	First	Male	.0	.0	26.6	Yes
40.0	First	Female	.0	.0	153.5	Yes
35.0	First	Male	.0	.0	26.3	Yes
50.0	First	Male	1.0	.0	55.9	No
56.0	First	Male	.0	.0	26.6	No
24.0	First	Male	1.0	.0	60.0	No
29.9	First	Male	.0	.0	26.0	No
23.0	First	Female	1.0	.0	82.3	Yes
45.0	First	Male	1.0	1.0	134.5	Yes
40.0	First	Female	1.0	1.0	134.5	Yes
57.0	First	Male	1.0	.0	146.5	No
29.9	First	Female	1.0	.0	146.5	Yes
62.0	First	Male	.0	.0	26.6	No
54.0	First	Male	1.0	.0	55.4	Yes
43.0	First	Female	1.0	.0	55.4	Yes
29.9	First	Male	.0	.0	27.7	No
62.0	First	Female	.0	.0	80.0	Yes
67.0	First	Male	1.0	.0	221.8	No
63.0	First	Female	1.0	.0	221.8	No
18.0	First	Female	.0	2.0	79.7	Yes
48.0	First	Male	1.0	.0	52.0	Yes
29.9	First	Female	1.0	.0	52.0	Yes
49.0	First	Male	1.0	1.0	110.9	No
17.0	First	Male	.0	2.0	110.9	Yes
39.0	First	Female	1.0	1.0	110.9	Yes
29.9	First	Female	.0	.0	79.2	Yes
31.0	First	Male	.0	.0	28.5	Yes
40.0	First	Male	.0	.0	27.7	No
61.0	First	Male	.0	.0	33.5	No
47.0	First	Male	.0	.0	34.0	No
35.0	First	Female	.0	.0	512.3	Yes
64.0	First	Male	1.0	.0	75.3	No
60.0	First	Female	1.0	.0	75.3	Yes
54.0	First	Male	.0	1.0	77.3	No
21.0	First	Male	.0	1.0	77.3	No
55.0	First	Female	.0	.0	135.6	Yes
57.0	First	Male	1.0	1.0	164.9	No
45.0	First	Female	1.0	1.0	164.9	Yes
50.0	First	Male	1.0	1.0	211.5	No
21.0	First	Female	.0	.0	26.6	Yes
51.0	First	Male	.0	1.0	61.4	No
21.0	First	Male	.0	1.0	61.4	Yes
29.9	First	Male	.0	.0	35.0	No
31.0	First	Female	.0	.0	134.5	Yes
29.9	First	Male	.0	.0	35.5	Yes
62.0	First	Male	.0	.0	26.6	No
36.0	First	Female	.0	.0	135.6	Yes
30.0	Second	Male	1.0	.0	24.0	No
30.0	Second	Male	.0	.0	13.0	No
18.0	Second	Male	.0	.0	11.5	No
25.0	Second	Male	.0	.0	10.5	No
36.0	Second	Female	1.0	.0	26.0	Yes
18.0	Second	Male	.0	.0	11.5	No
23.0	Second	Male	.0	.0	10.5	No
36.0	Second	Female	.0	.0	13.0	Yes
28.0	Second	Male	.0	.0	10.5	No
51.0	Second	Male	.0	.0	12.5	No
32.0	Second	Male	1.0	.0	26.0	Yes
1.0	Second	Male	2.0	1.0	39.0	Yes
4.0	Second	Female	2.0	1.0	39.0	Yes
12.0	Second	Female	2.0	1.0	39.0	Yes
36.0	Second	Female	.0	3.0	39.0	Yes
19.0	Second	Female	.0	.0	13.0	Yes
23.0	Second	Male	.0	.0	13.0	No
26.0	Second	Male	.0	.0	13.0	No
42.0	Second	Male	.0	.0	13.0	No
27.0	Second	Male	.0	.0	13.0	No
15.0	Second	Female	.0	2.0	39.0	Yes
60.0	Second	Male	1.0	1.0	39.0	No
40.0	Second	Female	1.0	1.0	39.0	Yes
20.0	Second	Female	1.0	.0	26.0	Yes
25.0	Second	Male	1.0	.0	26.0	No
36.0	Second	Female	.0	.0	13.0	Yes
25.0	Second	Male	.0	.0	13.0	No
42.0	Second	Male	.0	.0	13.0	No
42.0	Second	Female	.0	.0	13.0	Yes
26.0	Second	Male	1.0	1.0	29.0	Yes
22.0	Second	Female	1.0	1.0	29.0	Yes
29.9	Second	Male	.0	.0	.0	No
19.0	Second	Male	.0	.0	13.0	No
